{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-05-20', 'time_high': '2019-05-20 00:00:07', 'time_low': '2019-05-20 13:24:11', 'open': 1.4090947062, 'high': 1.4090947062, 'low': 1.3332060743, 'close': 1.3595296649, 'volume': 81273098.7459626, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-05-21', 'time_high': '2019-05-21 18:11:05', 'time_low': '2019-05-21 06:37:11', 'open': 1.3605375812, 'high': 1.4654049546, 'low': 1.3558988132, 'close': 1.4295227392, 'volume': 103995457.869528, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-05-22', 'time_high': '2019-05-22 17:31:09', 'time_low': '2019-05-22 11:43:11', 'open': 1.4295227392, 'high': 1.5308262094, 'low': 1.4043000845, 'close': 1.4591174613, 'volume': 138929305.142173, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-05-23', 'time_high': '2019-05-23 23:56:04', 'time_low': '2019-05-23 00:09:07', 'open': 1.4591174613, 'high': 1.549630458, 'low': 1.4445524348, 'close': 1.5309321749, 'volume': 111063576.040483, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-05-24', 'time_high': '2019-05-24 10:20:10', 'time_low': '2019-05-24 01:58:10', 'open': 1.5295535332, 'high': 1.6885570575, 'low': 1.5159364196, 'close': 1.6215145805, 'volume': 154090656.602479, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-05-25', 'time_high': '2019-05-25 01:47:03', 'time_low': '2019-05-25 00:19:11', 'open': 1.6215145805, 'high': 1.7645353328, 'low': 1.6212017602, 'close': 1.6456894236, 'volume': 127717316.018967, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-05-26', 'time_high': '2019-05-26 21:34:09', 'time_low': '2019-05-26 11:58:07', 'open': 1.6461899815, 'high': 1.681114103, 'low': 1.5827575278, 'close': 1.6684009403, 'volume': 109840037.011747, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-05-27', 'time_high': '2019-05-27 01:10:10', 'time_low': '2019-05-27 16:58:03', 'open': 1.6694703196, 'high': 1.7094743382, 'low': 1.6139565084, 'close': 1.6532360233, 'volume': 119592939.62396, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-05-28', 'time_high': '2019-05-28 04:11:08', 'time_low': '2019-05-28 01:09:05', 'open': 1.6528517712, 'high': 1.7014466715, 'low': 1.591216489, 'close': 1.6518130717, 'volume': 113637122.181652, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-05-29', 'time_high': '2019-05-29 00:02:13', 'time_low': '2019-05-29 05:56:07', 'open': 1.6518130717, 'high': 1.6520453392, 'low': 1.5432045367, 'close': 1.597525021, 'volume': 107250863.129106, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-05-30', 'time_high': '2019-05-30 01:13:12', 'time_low': '2019-05-30 21:38:11', 'open': 1.597525021, 'high': 1.6160254973, 'low': 1.4629926306, 'close': 1.5218205837, 'volume': 111341860.114036, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-05-31', 'time_high': '2019-05-31 13:19:08', 'time_low': '2019-05-31 05:06:14', 'open': 1.5218205837, 'high': 1.5462177101, 'low': 1.4609295039, 'close': 1.5069544342, 'volume': 103993835.353976, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-01', 'time_high': '2019-06-01 02:26:11', 'time_low': '2019-06-01 19:47:10', 'open': 1.5069544342, 'high': 1.5535413896, 'low': 1.4792691703, 'close': 1.495007482, 'volume': 95598969.5298413, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-02', 'time_high': '2019-06-02 08:18:09', 'time_low': '2019-06-02 00:10:02', 'open': 1.495007482, 'high': 1.5481265175, 'low': 1.4855182486, 'close': 1.5147981551, 'volume': 82414896.7474133, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-03', 'time_high': '2019-06-03 04:24:11', 'time_low': '2019-06-03 23:42:11', 'open': 1.5147981551, 'high': 1.5787439092, 'low': 1.463381529, 'close': 1.4723555455, 'volume': 109553444.322942, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-04', 'time_high': '2019-06-04 00:03:09', 'time_low': '2019-06-04 22:06:13', 'open': 1.4740118245, 'high': 1.4745830446, 'low': 1.3462431799, 'close': 1.4005971071, 'volume': 102576851.98498, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-05', 'time_high': '2019-06-05 11:21:09', 'time_low': '2019-06-05 21:02:05', 'open': 1.4025426923, 'high': 1.4326467281, 'low': 1.3831923676, 'close': 1.411612393, 'volume': 64837253.1974884, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-06', 'time_high': '2019-06-06 11:17:12', 'time_low': '2019-06-06 18:43:12', 'open': 1.4109633662, 'high': 1.4307062743, 'low': 1.3703952664, 'close': 1.4108898239, 'volume': 53023941.7687932, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-07', 'time_high': '2019-06-07 16:52:10', 'time_low': '2019-06-07 01:22:08', 'open': 1.4116531205, 'high': 1.4818992491, 'low': 1.401601514, 'close': 1.4660806598, 'volume': 66240459.203094, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-08', 'time_high': '2019-06-08 02:56:11', 'time_low': '2019-06-08 16:53:11', 'open': 1.4650730616, 'high': 1.4983693875, 'low': 1.4510662632, 'close': 1.4713037795, 'volume': 63702283.8129549, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-09', 'time_high': '2019-06-09 12:03:03', 'time_low': '2019-06-09 16:54:09', 'open': 1.4710969255, 'high': 1.4746955308, 'low': 1.428778114, 'close': 1.4516511409, 'volume': 69883705.6020101, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-10', 'time_high': '2019-06-10 22:24:11', 'time_low': '2019-06-10 04:13:02', 'open': 1.4511931608, 'high': 1.6327414607, 'low': 1.4180191378, 'close': 1.607881891, 'volume': 100956624.923379, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-11', 'time_high': '2019-06-11 00:14:02', 'time_low': '2019-06-11 11:49:11', 'open': 1.6081893979, 'high': 1.6289651951, 'low': 1.5324400696, 'close': 1.5875276169, 'volume': 80721823.488893, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-12', 'time_high': '2019-06-12 15:49:11', 'time_low': '2019-06-12 00:00:06', 'open': 1.5892460921, 'high': 1.7631082585, 'low': 1.5892460921, 'close': 1.6802571241, 'volume': 137022139.022807, 'market_cap': 0.0}
